,hhid,_merge,check_dist,gt30
185,7114151109,,,0.0
186,7112132114,,,
187,62788126,2020-11-25 14:00:59,2020-11-25 05:18:45,2020-11-25 06:41:32
188,62790119,,,1.0
189,62681114,,,
190,11618104,,,
191,7114157117,,,
192,719109103,2020-11-24 14:27:00,,
193,7110118124,,1.0,0.0
194,11618512,,,
195,7112130124,2020-12-19 06:43:39,2020-12-19 07:43:09,2020-12-19 06:46:00
196,62679113,,,1.0
197,7114151126,,,
198,62558104,,,
199,719107113,2020-11-30 06:18:23,2020-11-30 05:20:00,
200,7114150104,,,
201,62556110,,,
202,62222105,,,
203,7114150118,27.94309,979.6,4.7
204,7110119103,15:06:22,4888,4888
205,62788115,,,
206,62676127,,,
207,7112131123,,,
208,62236120,,,
209,7114156108,,,
210,11618112,uuid:f8ca1f6b-0370-453c-a586-f49803adaa71,2020-12-21 22:44:07,2020-12-14 10:10:55
211,719114118,,,
212,62228107,,,
213,7114144108,,,
214,7114151105,uuid:a5133de0-da87-4237-adff-760eec7746fa,2020-12-01 06:43:21,2020-11-25 05:23:58
215,62789104,2576,2576,43.11666666666667
216,7112132120,,,
217,7114151127,No,Swahili - Haut Katanga,
218,7114146113,,,
219,7114158109,,,
220,62235108,11:14:49,2346,2355
221,62225112,,,
222,11618121,,,
223,7110122118,,,
224,7110119114,2020-12-02 09:20:06,2020-12-02 08:15:00,
225,7110119110,2020-12-02 11:20:00,,
226,62224117,,,
227,11618115,,,
228,7114155119,2020-11-29 07:31:45,2020-11-29 06:28:00,
229,62551123,uuid:d3545736-528a-4fbb-b55c-9077922c8e3e,2020-11-29 11:37:31,2020-11-28 02:56:21
230,719107107,2011142115,uuid:52e8ab7e-80e5-4cd3-9f02-ecf6b97dd20f,2020-11-30 14:16:00
231,7110117127,,,
232,62782123,,1.0,0.0
233,7114151118,2020-11-25 07:34:00,,
234,719111121,2020-11-23 05:18:54,2020-11-23 06:21:59,2020-11-23 05:23:00
235,10709114,,,
236,62679116,,,
237,7110121116,,,
238,7110118102,,,
239,7114156114,2020-11-20 07:57:00,,
240,7110122123,2020-12-09 06:29:49,2020-12-05 10:43:51,2020-12-05 11:52:11
241,62222113,2020-12-21 04:22:24,2020-12-16 02:37:12,2020-12-21 09:23:43
242,7114157125,2011142115,uuid:84d411e3-b9d8-4ad7-82b4-b3febdb7dca2,2020-12-01 06:42:46
243,62236107,,,
244,7110122111,2011142115,uuid:206d5e6f-37c5-4c4d-a95e-346059884013,2020-12-09 06:09:00
245,719113123,1.0,0.0,0.0
246,62557117,,,
247,62550107,,,
248,7114155118,"Elle a eu les soins gratuitement,elle est matrone et aussi elle est femme à l IT",12:10:52
249,719111111,,,
250,62557112,,,
251,7112130107,,,
252,62789111,,,
253,7112136103,,,
254,7110122105,,,
255,7114145112,,1.0,0.0
256,719110104,2020-11-26 07:43:00,,
257,7114153109,2020-11-26 05:48:45,2020-11-26 04:44:00,
258,7110122115,,,
259,62560113,2020-12-02 03:27:00,,
260,62679125,4.7,12:12:27,3121
261,7110121106,2020-12-06 04:56:20,2020-12-06 06:04:30,2020-12-06 05:00:00
262,7114146120,,,
263,62681119,,,
264,62236113,,,
265,62558118,5793,96.8,2011201316
266,7112131104,,,
267,62234112,2020-11-28 05:24:15,2020-11-28 04:36:00,
268,7110121107,,,
269,62224105,,,
270,62788118,2020-11-25 14:00:55,2020-11-25 03:17:48,2020-11-25 05:04:36
271,719108122,,,
272,62552102,2020-12-08 07:43:16,2020-12-08 06:38:00,
273,11618505,,,
274,62679105,,,
275,62235106,,,
276,7114157110,,,
277,7110118113,uuid:f69054eb-c854-4573-8b09-f53b1ec99404,2020-12-02 14:24:29,2020-12-01 08:53:33
278,62782119,,,
279,7112131113,,,
280,7114158125,,,
281,7114153114,2020-12-01 06:51:21,2020-11-26 04:00:08,2020-11-26 09:04:35
282,7110116106,,,
283,7112131119,4.0,09:26:50,4095
284,7110115125,,,
285,62234103,uuid:ef862d2b-638d-428b-a70b-190b737716a7,2020-12-06 02:17:42,2020-11-28 03:54:10
286,7114145117,,,
287,62783124,4285,4285,71.61666666666666
288,11618220,,,
289,62782124,3006,50.3,2011212223
290,62230117,,,
291,719112107,,,
292,62232125,,,0.0
293,719108105,0.0,0.0,0.0
294,719113101,,,
295,62679104,,,
296,62551120,,,
297,62557120,,,
298,62790121,,,
299,62551119,,,
300,7114153118,,,
301,62557124,,,
302,719109110,,,
303,62787107,,,
304,62222120,2020-12-21 03:40:48,2020-12-17 08:24:14,2020-12-17 09:47:42
305,7114152125,,,
306,62681130,2020-12-19 06:45:00,,
307,11618209,2020-12-16 12:05:20,2020-12-15 13:26:13,2020-12-15 12:24:00
308,10709112,,,1.0
309,7110121103,,,
310,7114156123,2020-11-20 06:33:49,2020-11-20 05:34:00,
311,62554112,,,
312,62787101,,,
313,62784107,2011212223,uuid:f79eed71-9995-4ea7-91c4-cb2c9ee5beda,2020-12-11 13:16:53
314,62784103,,,
315,62784112,,,
316,7112130117,2503,43.0,2011142115
317,62225123,,,
318,62232118,,,
319,62788122,2011212223,uuid:1a94fda8-9bb8-4e82-81cc-64ae38f5f9c2,2020-11-25 14:02:58
320,7110115111,uuid:b303f247-7085-40bd-8796-2c37e7425c75,2020-12-09 06:08:51,2020-12-04 07:45:15
321,719109121,,,
322,62235115,,,
323,62223125,2020-12-06 02:11:02,2020-11-25 07:13:47,2020-11-25 12:36:34
324,7112134117,2020-12-17 07:00:42,2020-12-17 08:27:19,2020-12-17 07:03:00
325,62679122,,1.0,0.0
326,7110118107,,,
327,7112131118,,,
328,7110119101,,1.0,0.0
329,62231127,,,
330,719108108,,,
331,7112134116,2020-12-17 04:00:13,2020-12-17 05:06:47,2020-12-17 03:56:00
332,7114144104,,,
333,7114158103,2020-11-30 04:03:00,,
334,7114151121,,,
335,7112135112,,,
336,62236126,,,
337,62556125,,,
338,62677106,,,
339,62786106,,,
340,719114108,,,
341,7114152115,,,0.0
342,62222126,uuid:6628e97c-e2b5-495b-8808-5984bbb4a710,2020-12-21 04:17:41,2020-12-17 06:16:33
343,7110121115,2020-12-06 02:07:58,2020-12-06 03:23:10,2020-12-06 02:14:00
344,7114152114,51.8,2011142115,uuid:080e8a9f-8071-4fb1-a97e-572d248d87cb
345,62551103,,,
346,62790106,,,
347,62226122,,,
348,62681117,,,
349,62788113,,,
350,62790108,,,
351,719110107,,,
352,719107109,,,
353,62551109,,,
354,62224119,,,
355,719110105,,,
356,62230112,2020-12-11 05:35:00,,
357,11618509,,,
358,62788120,,,
359,7114144109,,,
360,62228115,2020-12-21 03:40:25,2020-12-07 05:55:41,2020-12-07 10:03:59
361,62229113,,,
362,719107110,,,
363,62677103,,,
364,62789101,2965,2965,49.7
365,719109114,,,
366,62677115,2020-12-21 04:42:00,,
367,7114151103,36.15,2011142115,uuid:4f2ad58a-b0a7-4c26-afd4-182f35004cf1
368,7114145126,,,
369,62236116,,1.0,0.0
370,7112135105,,,
371,7110122122,2020-12-05 08:33:07,2020-12-05 09:39:25,2020-12-05 08:34:00
372,719108112,,,
